director_name,num_critic_for_reviews,gross,genres,actor_1_name,movie_title,num_voted_users,num_user_for_reviews,language,budget,title_year,imdb_score,movie_facebook_likes
Richard LaGravenese,131,53680848,Drama|Romance,Gerard Butler,P.S. I Love You ,167967,243,English,30000000.0,2007,7.1,20000
Frederik Du Chau,73,49186871,Adventure|Comedy|Drama|Family|Sport,Bruce Greenwood,Racing Stripes ,12570,86,English,20000000.0,2005,5.2,771
Joe Wright,316,50921738,Drama|Mystery|Romance|War,Benedict Cumberbatch,Atonement ,192930,581,English,30000000.0,2007,7.8,12000
Gary Winick,159,53021560,Comedy|Drama|Romance,Vanessa Redgrave,Letters to Juliet ,74630,156,English,30000000.0,2010,6.5,13000
Ridley Scott,63,45645204,Action|Crime|Thriller,Stephen Root,Black Rain ,39306,119,English,30000000.0,1989,6.6,0
Bobby Farrelly,162,44328238,Comedy,Kate Upton,The Three Stooges ,25484,189,English,20000000.0,2012,5.1,13000
Tim Burton,267,53337608,Animation|Drama|Family|Fantasy|Musical|Romance,Johnny Depp,Corpse Bride ,188785,467,English,40000000.0,2005,7.4,0
James Gartner,95,42643187,Biography|Drama|Sport,Mehcad Brooks,Glory Road ,34910,145,English,20000000.0,2006,7.2,0
Denis Villeneuve,478,46875468,Action|Crime|Drama|Mystery|Thriller,Edgar Arreola,Sicario ,196217,461,English,30000000.0,2015,7.6,59000
Antoine Fuqua,305,52418902,Drama|Sport,Jake Gyllenhaal,Southpaw ,147128,277,English,30000000.0,2015,7.5,44000
Sam Raimi,397,42057340,Horror|Thriller,Bojana Novakovic,Drag Me to Hell ,158354,691,English,30000000.0,2009,6.6,11000
Lee Toland Krieger,214,42478175,Drama|Fantasy|Romance,Harrison Ford,The Age of Adaline ,93767,209,English,25000000.0,2015,7.2,34000
Tim McCanlies,82,41407470,Comedy|Drama|Family,Haley Joel Osment,Secondhand Lions ,43378,292,English,30000000.0,2003,7.6,0
Jon M. Chu,138,42385520,Drama|Music|Romance,Alyson Stoner,Step Up 3D ,47297,86,English,30000000.0,2010,6.2,16000
John Stockwell,69,40118420,Drama|Romance|Sport,Faizon Love,Blue Crush ,26066,216,English,30000000.0,2002,5.6,0
Marc Forster,253,40137776,Comedy|Drama|Fantasy|Romance,Will Ferrell,Stranger Than Fiction ,186977,529,English,38000000.0,2006,7.6,13000
David Slade,304,39568996,Horror,Danny Huston,30 Days of Night ,138435,527,English,32000000.0,2007,6.6,0
Drew Goddard,634,42043633,Fantasy|Horror|Mystery|Thriller,Chris Hemsworth,The Cabin in the Woods ,277172,986,English,30000000.0,2012,7.0,66000
Jason Friedberg,111,38232624,Comedy,Carmen Electra,Meet the Spartans ,88518,409,English,30000000.0,2008,2.7,0
Martin Brest,77,38413606,Action|Comedy|Crime|Thriller,Robert De Niro,Midnight Run ,54042,215,English,30000000.0,1988,7.6,0
Paul Michael Glaser,120,38122105,Action|Crime|Sci-Fi|Thriller,Yaphet Kotto,The Running Man ,112669,226,English,27000000.0,1987,6.6,0
Frank Oz,63,38747385,Comedy|Horror|Musical|Sci-Fi,Bill Murray,Little Shop of Horrors ,49349,165,English,25000000.0,1986,6.9,0
Joe Wright,417,40247512,Action|Drama|Thriller,Jessica Barden,Hanna ,159198,438,English,30000000.0,2011,6.8,38000
unknown,9,25517500,Drama|Mystery,Zach Gilford,The Family             ,3322,30,English,20000000.0,2009,7.5,0
John R. Leonetti,59,35927406,Action|Adventure|Fantasy|Sci-Fi|Thriller,Brian Thompson,Mortal Kombat: Annihilation ,36363,256,English,30000000.0,1997,3.7,1000
Tom Hanks,218,35565975,Comedy|Drama|Romance,Tom Hanks,Larry Crowne ,49205,184,English,30000000.0,2011,6.1,0
Kimberly Peirce,359,35266619,Drama|Fantasy|Horror,Chloë Grace Moretz,Carrie ,108242,371,English,30000000.0,2013,5.9,39000
Liz Friedlander,101,34703228,Drama|Music,Alfre Woodard,Take the Lead ,21767,127,English,30000000.0,2006,6.7,0
unknown,52,25517500,Comedy|Drama,Debi Mazar,Entourage             ,135643,145,English,20000000.0,2009,8.5,0
Phil Joanou,85,38432823,Crime|Drama|Sport,Dwayne Johnson,Gridiron Gang ,33067,134,English,30000000.0,2006,6.9,0
Sam Weisman,64,32095318,Comedy|Crime,Bernie Mac,What's the Worst That Could Happen? ,12466,84,English,45000000.0,2001,5.5,304
Shane Acker,263,31743332,Action|Adventure|Animation|Drama|Mystery|Sci-Fi|Thriller,Martin Landau,9 ,111117,245,English,30000000.0,2009,7.1,13000
Steven Soderbergh,450,32154410,Crime|Drama|Thriller,Channing Tatum,Side Effects ,148327,274,English,30000000.0,2013,7.1,29000
Martha Coolidge,85,28165882,Comedy|Family|Romance,Devin Ratray,The Prince and Me ,31984,154,English,20000000.0,2004,5.9,0
Stephen J. Anderson,162,26687172,Adventure|Animation|Comedy|Family|Musical,Craig Ferguson,Winnie the Pooh ,15600,55,English,30000000.0,2011,7.3,0
Troy Miller,85,26096584,Comedy,Elden Henson,Dumb and Dumberer: When Harry Met Lloyd ,30651,267,English,19000000.0,2003,3.4,1000
Warren Beatty,110,26525834,Comedy|Drama|Romance,Warren Beatty,Bulworth ,21998,227,English,30000000.0,1998,6.8,0
Tate Taylor,165,30513940,Biography|Drama|Music,Tika Sumpter,Get on Up ,15843,104,English,30000000.0,2014,6.9,11000
Carl Franklin,64,23209440,Drama,Meryl Streep,One True Thing ,9283,112,English,30000000.0,1998,7.0,592
Brett Leonard,44,24048000,Action|Crime|Sci-Fi|Thriller,Denzel Washington,Virtuosity ,23579,88,English,30000000.0,1995,5.5,0
Ivan Reitman,147,22526144,Comedy|Romance|Sci-Fi,Rainn Wilson,My Super Ex-Girlfriend ,53884,203,English,30000000.0,2006,5.1,1000
Scott Derrickson,242,30523568,Horror|Mystery|Thriller,Olivia Munn,Deliver Us from Evil ,54447,201,English,30000000.0,2014,6.2,18000
Alister Grierson,244,23070045,Adventure|Drama|Thriller,Ioan Gruffudd,Sanctum ,47003,215,English,30000000.0,2011,5.9,11000
Nick Hurran,73,20422207,Comedy|Drama|Romance,Holly Hunter,Little Black Book ,15052,116,English,35000000.0,2004,5.2,484
Nicholas Stoller,232,28644770,Comedy|Romance,Alison Brie,The Five-Year Engagement ,78974,141,English,30000000.0,2012,6.2,11000
Charles Stone III,63,21800302,Comedy|Drama|Romance|Sport,Bernie Mac,Mr 3000 ,12164,63,English,30000000.0,2004,5.5,491
Paul Haggis,239,21129348,Crime|Drama|Romance|Thriller,Olivia Wilde,The Next Three Days ,146364,237,English,35000000.0,2010,7.4,27000
Kurt Wimmer,158,18500966,Action|Horror|Sci-Fi|Thriller,Milla Jovovich,Ultraviolet ,70341,830,English,30000000.0,2006,4.4,0
Jean-François Richet,152,19976073,Action|Crime|Drama|Thriller,Brian Dennehy,Assault on Precinct 13 ,65979,220,English,20000000.0,2005,6.3,999
Antoine Fuqua,105,18967571,Action|Crime|Thriller,Mira Sorvino,The Replacement Killers ,23345,167,English,30000000.0,1998,6.1,629
Kevin Hooks,36,17100000,Action|Adventure|Crime|Drama|Romance,Salma Hayek,Fled ,7073,29,English,25000000.0,1996,5.3,204
Ellory Elkayem,181,17266505,Action|Comedy|Horror,Scarlett Johansson,Eight Legged Freaks ,43764,291,English,30000000.0,2002,5.4,0
Edward Zwick,219,32357532,Comedy|Drama|Romance,Jake Gyllenhaal,Love & Other Drugs ,143368,215,English,30000000.0,2010,6.7,24000
Jon Avnet,158,16930884,Crime|Drama|Mystery|Thriller,Al Pacino,88 Minutes ,65628,262,English,30000000.0,2007,5.9,0
Niki Caro,155,18324242,Drama,Jeremy Renner,North Country ,32815,214,English,35000000.0,2005,7.3,0
Howard Deutch,74,16323969,Comedy|Crime|Thriller,Bruce Willis,The Whole Ten Yards ,45775,112,English,40000000.0,2004,5.5,462
Vincenzo Natali,368,16999046,Drama|Horror|Sci-Fi,Sarah Polley,Splice ,79517,354,English,26000000.0,2009,5.8,12000
Willard Huyck,81,16295774,Action|Adventure|Comedy|Romance|Sci-Fi,Lea Thompson,Howard the Duck ,33669,269,English,35000000.0,1986,4.6,0
Gavin O'Connor,154,15709385,Crime|Drama|Thriller,Jennifer Ehle,Pride and Glory ,53053,132,English,30000000.0,2008,6.7,0
Bruce Hunt,140,14888028,Adventure|Horror|Thriller,Eddie Cibrian,The Cave ,28606,262,English,30000000.0,2005,5.1,0
Rob Reiner,73,14208384,Comedy|Romance,David Paymer,Alex & Emma ,11520,105,English,30000000.0,2003,5.6,625
Paul McGuigan,98,12831121,Drama|Mystery|Romance|Thriller,Jessica Paré,Wicker Park ,44979,298,English,30000000.0,2004,7.0,0
Craig Gillespie,358,18298649,Comedy|Horror,Grace Phipps,Fright Night ,85024,242,English,30000000.0,2011,6.4,23000
Terrence Malick,222,12712093,Biography|Drama|History|Romance,Christian Bale,The New World ,70771,671,English,30000000.0,2005,6.7,0
Chris Roberts,85,11576087,Action|Adventure|Sci-Fi,Saffron Burrows,Wing Commander ,14747,338,English,30000000.0,1999,4.1,858
Neil Jordan,62,11900000,Drama|Fantasy|Thriller,Robert Downey Jr.,In Dreams ,11003,148,English,30000000.0,1999,5.5,654
James Wong,130,9353573,Action|Adventure|Fantasy|Sci-Fi|Thriller,Ian Whyte,Dragonball: Evolution ,56451,524,English,45000000.0,2009,2.7,0
Jee-woon Kim,376,12026670,Action|Crime|Thriller,Zach Gilford,The Last Stand ,114241,258,English,45000000.0,2013,6.4,24000
Nick Hamm,130,14334645,Drama|Horror|Sci-Fi|Thriller,Robert De Niro,Godsend ,22449,191,English,25000000.0,2004,4.8,387
Andy Cadiff,65,12189514,Comedy|Romance,Annabella Sciorra,Chasing Liberty ,30092,129,English,23000000.0,2004,6.1,0
Mike Disa,77,10134754,Animation|Comedy|Family,Amy Poehler,Hoodwinked Too! Hood vs. Evil ,9682,38,English,30000000.0,2011,4.8,0
Lasse Hallström,107,8535575,Drama,Morgan Freeman,An Unfinished Life ,24033,152,English,30000000.0,2005,7.0,0
Terry Gilliam,292,7689458,Adventure|Fantasy|Mystery,Andrew Garfield,The Imaginarium of Doctor Parnassus ,126307,210,English,40000000.0,2009,6.8,19000
Richard J. Lewis,193,7501404,Comedy|Drama,Mark Addy,Barney's Version ,21086,87,English,20000000.0,2010,7.3,0
unknown,16,25517500,Crime|Drama|Thriller,Ólafur Darri Ólafsson,Trapped             ,2308,19,Icelandic,20000000.0,2009,8.2,0
Brad Furman,184,19316646,Crime|Thriller,Justin Timberlake,Runner Runner ,52069,95,English,30000000.0,2013,5.6,0
Peter Howitt,123,10965209,Action|Crime|Drama|Thriller,Tyler Labine,Antitrust ,25558,221,English,30000000.0,2001,6.1,0
Edward Zwick,60,26830000,Drama|History|War,Denzel Washington,Glory ,101888,365,English,18000000.0,1989,7.9,0
Sergio Leone,111,5300000,Crime|Drama,Robert De Niro,Once Upon a Time in America ,221000,495,English,30000000.0,1984,8.4,12000
Niels Arden Oplev,217,10880926,Action|Crime|Drama|Thriller,Dominic Cooper,Dead Man Down ,54147,127,English,30000000.0,2013,6.5,0
Michael Radford,117,3752725,Drama|Romance,Al Pacino,The Merchant of Venice ,29715,161,English,18000000.0,2004,7.1,0
Neil Jordan,105,3517797,Action|Crime|Drama|Romance|Thriller,Emir Kusturica,The Good Thief ,9004,103,English,25000000.0,2002,6.6,287
Steve Boyum,41,3101301,Action|Drama|Romance|Sport,Channing Tatum,Supercross ,3926,38,English,20000000.0,2005,4.0,353
Chris Noonan,124,2975649,Biography|Drama|Romance,Emily Watson,Miss Potter ,23864,142,English,30000000.0,2006,7.0,0
Corey Yuen,110,480314,Action|Adventure,Steve Howey,DOA: Dead or Alive ,38503,180,English,21000000.0,2006,4.8,0
Andrew Dominik,273,3904982,Biography|Crime|Drama|History|Western,Brad Pitt,The Assassination of Jesse James by the Coward Robert Ford ,136104,415,English,30000000.0,2007,7.5,0
Li Zhang,63,127437,Action|Adventure|Drama|History|War,Bingbing Li,1911 ,4670,27,Mandarin,18000000.0,2011,6.0,0
Laurent Tirard,56,25517500,Comedy|Family,Louise Bourgoin,Little Nicholas ,9214,17,French,20000000.0,2009,7.2,0
Simon West,130,25517500,Action|Crime|Drama|Thriller,Jason Statham,Wild Card ,36487,114,English,30000000.0,2015,5.6,0
Marc Forster,134,537580,Action|Biography|Crime|Drama,Gerard Butler,Machine Gun Preacher ,52972,124,English,30000000.0,2011,6.8,21000
Reinhard Klooss,36,25517500,Animation|Comedy|Family,Jim Broadbent,Animals United ,4599,44,German,20000000.0,2010,4.9,885
Bille August,46,25517500,Biography|Drama|History,Terry Pheto,The Color of Freedom ,10175,23,English,30000000.0,2007,7.1,0
Frédéric Auburtin,7,25517500,Drama|History|Sport,Fisher Stevens,United Passions ,3279,22,English,24000000.0,2014,2.0,0
Olivier Dahan,132,25517500,Biography|Drama|Romance,Paz Vega,Grace of Monaco ,12410,62,English,30000000.0,2014,5.7,6000
Maksim Fadeev,5,25517500,Adventure|Animation|Fantasy,Konstantin Khabenskiy,A Warrior's Tail ,393,7,Russian,30000000.0,2015,4.1,161
Liliana Cavani,56,25517500,Crime|Drama|Mystery|Thriller,Ray Winstone,Ripley's Game ,14618,108,English,30000000.0,2002,6.7,447
Greg Tiernan,65,25517500,Adventure|Animation|Comedy|Fantasy,James Franco,Sausage Party ,3302,14,English,19000000.0,2016,7.5,13000
Elizabeth Banks,221,183436380,Comedy|Music,Anna Kendrick,Pitch Perfect 2 ,97697,185,English,29000000.0,2015,6.5,40000
James Mangold,291,119518352,Biography|Drama|Music|Romance,Sandra Ellis Lafferty,Walk the Line ,188637,815,English,28000000.0,2005,7.9,11000
unknown,13,25517500,Adventure|Drama|Mystery|Sci-Fi|Thriller,Amanda Schull,12 Monkeys             ,20839,56,English,20000000.0,2009,7.6,12000
Edward Norton,148,37036404,Comedy|Drama|Romance,Lisa Edelstein,Keeping the Faith ,44816,259,English,30000000.0,2000,6.4,0
Peter Hewitt,42,22359293,Adventure|Comedy|Family|Fantasy,Jim Broadbent,The Borrowers ,16222,39,English,29000000.0,1997,5.8,0
Ron Howard,302,18593156,Drama,Toby Jones,Frost/Nixon ,88682,241,English,35000000.0,2008,7.7,0
George Clooney,181,25517500,Biography|Comedy|Crime|Drama|Romance|Thriller,Dick Clark,Confessions of a Dangerous Mind ,71596,276,English,29000000.0,2002,7.1,3000
Reginald Hudlin,64,16930185,Comedy|Romance,Matthew Perry,Serving Sara ,14315,101,English,29000000.0,2002,5.3,201
Ben Falcone,154,63034755,Comedy,Peter Dinklage,The Boss ,16984,96,English,29000000.0,2016,5.3,0
Richard Attenborough,17,5899797,Biography|Drama|History,Denzel Washington,Cry Freedom ,9913,51,English,29000000.0,1987,7.5,0
Lawrence Kasdan,65,4554569,Comedy|Drama,Zooey Deschanel,Mumford ,8134,123,English,28000000.0,1999,6.9,209
Don Mancini,148,17016190,Comedy|Fantasy|Horror|Thriller,Jason Flemyng,Seed of Chucky ,28632,214,English,12000000.0,2004,4.9,0
John Maybury,161,6301131,Drama|Mystery|Sci-Fi|Thriller,Jennifer Jason Leigh,The Jacket ,92850,263,English,29000000.0,2005,7.1,0
Ron Clements,124,217350219,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Robin Williams,Aladdin ,260939,244,English,28000000.0,1992,8.0,0
F. Gary Gray,349,161029270,Biography|Crime|Drama|History|Music,Aldis Hodge,Straight Outta Compton ,119928,331,English,28000000.0,2015,7.9,76000
Steven Spielberg,148,179870271,Action|Adventure,Harrison Ford,Indiana Jones and the Temple of Doom ,329969,524,English,28000000.0,1984,7.6,0
Igor Kovalyov,45,100491683,Adventure|Animation|Comedy|Drama|Family|Musical,Elizabeth Daily,The Rugrats Movie ,14005,67,English,24000000.0,1998,5.9,418
Stephen Frears,87,25517500,Biography|Comedy|Drama|Music|Romance,Meryl Streep,Florence Foster Jenkins ,2167,32,English,29000000.0,2016,7.1,0
Robert Rodriguez,178,55845943,Action|Crime|Thriller,Johnny Depp,Once Upon a Time in Mexico ,130094,471,English,29000000.0,2003,6.4,0
John McTiernan,233,81350242,Action|Thriller,Alan Rickman,Die Hard ,592582,722,English,28000000.0,1988,8.2,25000
David Wain,173,67266300,Comedy,Joe Lo Truglio,Role Models ,195255,170,English,28000000.0,2008,6.9,0
Adam McKay,426,70235322,Biography|Comedy|Drama|History,Ryan Gosling,The Big Short ,182983,374,English,28000000.0,2015,7.8,99000
Ang Lee,210,7443007,Comedy|Drama|Music,Imelda Staunton,Taking Woodstock ,24663,71,English,30000000.0,2009,6.7,0
Gavin O'Connor,129,64371181,Biography|Drama|History|Sport,Eddie Cahill,Miracle ,36636,289,English,28000000.0,2004,7.5,0
Zack Snyder,287,58885635,Action|Horror|Thriller,Ty Burrell,Dawn of the Dead ,194422,1057,English,26000000.0,2004,7.4,7000
Adam Shankman,108,60400856,Comedy|Romance,Matthew McConaughey,The Wedding Planner ,61317,229,English,35000000.0,2001,5.2,0
Shinji Aramaki,62,25517500,Adventure|Animation|Sci-Fi,Shun Oguri,Harlock: Space Pirate ,8227,28,Japanese,30000000.0,2013,6.5,0
Wes Anderson,220,52353636,Comedy|Drama,Bill Murray,The Royal Tenenbaums ,209133,962,English,21000000.0,2001,7.6,0
James Mangold,136,51475962,Mystery|Thriller,Clea DuVall,Identity ,177828,714,English,30000000.0,2003,7.3,11000
Jon Turteltaub,222,63910583,Comedy|Romance,Robert De Niro,Last Vegas ,106755,173,English,28000000.0,2013,6.6,27000
John Glen,112,62300000,Action|Adventure|Thriller,Julian Glover,For Your Eyes Only ,72085,263,English,28000000.0,1981,6.8,2000
Peter Chelsom,122,49968653,Comedy|Romance,Lilli Lavine,Serendipity ,85423,374,English,28000000.0,2001,6.9,12000
Peter Hyams,62,44450000,Action|Crime|Sci-Fi|Thriller,Mia Sara,Timecop ,44394,115,English,27000000.0,1994,5.8,0
Ben Stiller,135,45162741,Comedy,Milla Jovovich,Zoolander ,201084,523,English,28000000.0,2001,6.6,0
Lasse Hallström,184,71346930,Drama|Romance|Thriller,David Lyons,Safe Haven ,78008,160,English,28000000.0,2013,6.7,23000
Kenny Ortega,36,39514713,Comedy|Family|Fantasy,Vinessa Shaw,Hocus Pocus ,60494,132,English,28000000.0,1993,6.7,16000
Scott Hicks,171,43097652,Comedy|Drama|Romance,Zoë Kravitz,No Reservations ,59068,128,English,28000000.0,2007,6.3,0
Matthew Vaughn,447,48043505,Action|Comedy,Elizabeth McGovern,Kick-Ass ,435864,801,English,30000000.0,2010,7.7,36000
Ruben Fleischer,220,37053924,Action|Comedy|Crime,Bianca Kajlich,30 Minutes or Less ,77935,122,English,28000000.0,2011,6.1,0
Patrick Lussier,122,33000377,Action|Fantasy|Horror|Thriller,Gerard Butler,Dracula 2000 ,27378,365,English,28000000.0,2000,4.9,0
Miguel Arteta,119,66950483,Comedy|Family,Bella Thorne,"Alexander and the Terrible, Horrible, No Good, Very Bad Day ",29738,85,English,28000000.0,2014,6.2,12000
Joe Wright,177,38372662,Drama|Romance,Talulah Riley,Pride & Prejudice ,193455,1058,English,28000000.0,2005,7.8,17000
Ridley Scott,302,27000000,Sci-Fi|Thriller,Harrison Ford,Blade Runner ,461609,1168,English,28000000.0,1982,8.2,34000
Michael Caton-Jones,44,31600000,Adventure|Biography,Liam Neeson,Rob Roy ,34427,126,English,28000000.0,1995,6.9,0
McG,211,30688364,Action|Drama|Thriller,Connie Nielsen,3 Days to Kill ,69355,211,English,28000000.0,2014,6.2,10000
James Gray,222,28563179,Crime|Drama|Thriller,Robert Duvall,We Own the Night ,72693,199,English,21000000.0,2007,6.9,0
Janusz Kaminski,100,16779636,Drama|Horror|Thriller,Philip Baker Hall,Lost Souls ,9338,167,English,28000000.0,2000,4.8,209
Donald Petrie,98,17324744,Comedy|Fantasy|Romance,Samaire Armstrong,Just My Luck ,44103,149,English,28000000.0,2006,5.3,0
Jay Roach,74,8888143,Comedy|Drama|Sport,Scott Grimes,"Mystery, Alaska ",22250,123,English,28000000.0,1999,6.7,913
Brian Levant,97,24268828,Action|Comedy|Family,Madeline Carroll,The Spy Next Door ,29971,71,English,28000000.0,2010,5.4,0
Michael Ritchie,21,8119205,Comedy|Family|Fantasy,Mara Wilson,A Simple Wish ,4288,21,English,28000000.0,1997,5.4,517
John Carpenter,156,8434601,Action|Horror|Sci-Fi,Jason Statham,Ghosts of Mars ,43006,460,English,28000000.0,2001,4.9,0
David Gordon Green,125,6998324,Comedy|Drama,Dominic Flores,Our Brand Is Crisis ,11476,50,English,28000000.0,2015,6.1,0
Burr Steers,225,10907291,Action|Horror|Romance,Matt Smith,Pride and Prejudice and Zombies ,23775,134,English,28000000.0,2016,5.8,73000
Martin Scorsese,85,5532301,Biography|Drama|History|War,Tenzin Thuthob Tsarong,Kundun ,21606,117,English,28000000.0,1997,7.0,0
Robert B. Weide,135,2775593,Comedy|Drama|Romance,James Corden,How to Lose Friends & Alienate People ,61269,98,English,27000000.0,2008,6.5,0
Jeff Wadlow,350,28751715,Action|Comedy|Crime,Chloë Grace Moretz,Kick-Ass 2 ,202967,378,English,28000000.0,2013,6.6,36000
Agustín Díaz Yanes,31,25517500,Adventure|Drama|History|Romance|Thriller|War,Viggo Mortensen,Captain Alatriste: The Spanish Musketeer ,10266,84,Spanish,24000000.0,2006,6.1,0
Camille Delamarre,177,20285518,Action|Crime|Drama|Thriller,Paul Walker,Brick Mansions ,32103,112,English,28000000.0,2014,5.7,0
John Glen,106,67900000,Action|Adventure|Thriller,Louis Jourdan,Octopussy ,74374,225,English,27500000.0,1983,6.6,0
Judd Apatow,251,148734225,Comedy|Romance,Harold Ramis,Knocked Up ,298590,559,English,30000000.0,2007,7.0,0
Nick Cassavetes,148,49185998,Drama,Jason Patric,My Sister's Keeper ,74476,184,English,30000000.0,2009,7.4,15000
Malcolm D. Lee,76,42168445,Comedy|Drama|Romance,Mo'Nique,"Welcome Home, Roscoe Jenkins ",10791,39,English,35000000.0,2008,5.3,464
David Lean,52,26400000,Adventure|Drama|History,Richard Wilson,A Passage to India ,12980,89,English,16000000.0,1984,7.4,845
Richard Eyre,220,17508670,Crime|Drama|Romance|Thriller,Phil Davis,Notes on a Scandal ,64625,281,English,15000000.0,2006,7.4,0
Gavin Hood,131,9664316,Drama|Thriller,J.K. Simmons,Rendition ,47203,197,English,27500000.0,2007,6.8,0
unknown,7,25517500,Crime|Drama|Sci-Fi|Thriller,Colin Salmon,Limitless             ,38177,131,English,20000000.0,2009,7.9,11000
Nicholas Meyer,112,74888996,Action|Adventure|Sci-Fi|Thriller,Leonard Nimoy,Star Trek VI: The Undiscovered Country ,55513,188,English,30000000.0,1991,7.2,0
Callie Khouri,93,69586544,Drama,Ellen Burstyn,Divine Secrets of the Ya-Ya Sisterhood ,15352,199,English,27000000.0,2002,6.0,0
Gary Fleder,83,60491560,Crime|Drama|Mystery|Thriller,Morgan Freeman,Kiss the Girls ,50653,143,English,27000000.0,1997,6.6,0
John Landis,125,54200000,Action|Comedy|Crime|Music,John Belushi,The Blues Brothers ,142448,319,English,27000000.0,1980,7.9,14000
Sanaa Hamri,73,44087387,Comedy|Drama|Family|Romance,America Ferrera,The Sisterhood of the Traveling Pants 2 ,22304,33,English,20000000.0,2008,6.2,894
Todd Graff,98,30920167,Comedy|Music,Dolly Parton,Joyful Noise ,6476,71,English,25000000.0,2012,5.7,0
Chris Weitz,158,40566655,Comedy|Drama|Romance,Sharon Small,About a Boy ,144021,391,English,30000000.0,2002,7.1,0
Steve Miner,152,31768374,Action|Comedy|Horror,Oliver Platt,Lake Placid ,42761,366,English,27000000.0,1999,5.6,2000
Paul McGuigan,202,22494487,Crime|Drama|Mystery|Thriller,Bruce Willis,Lucky Number Slevin ,262153,507,English,27000000.0,2006,7.8,10000
Philip Kaufman,80,21500000,Adventure|Drama|History,Dennis Quaid,The Right Stuff ,45271,170,English,27000000.0,1983,7.9,0
Roland Emmerich,288,4463292,Drama|History|Thriller,Vanessa Redgrave,Anonymous ,34488,136,English,30000000.0,2011,6.9,15000
Wolfgang Petersen,99,25517500,Adventure|Drama|Family|Fantasy,Gerald McRaney,The NeverEnding Story ,99557,284,English,27000000.0,1984,7.4,21000
Alex Proyas,222,14337579,Action|Drama|Fantasy|Mystery|Sci-Fi|Thriller,Rufus Sewell,Dark City ,156929,624,English,27000000.0,1998,7.7,14000
Saul Dibb,194,13823741,Biography|Drama|History|Romance,Dominic Cooper,The Duchess ,61777,140,English,13500000.0,2008,6.9,0
unknown,15,25517500,Comedy|Family,Jackie Gleason,The Honeymooners             ,3446,31,English,20000000.0,2009,8.7,459
Walter Murch,56,25517500,Adventure|Family|Fantasy|Horror|Mystery,Piper Laurie,Return to Oz ,19568,208,English,25000000.0,1985,6.7,0
Richard Linklater,63,10297897,Action|Crime|Drama|History|Western,Matthew McConaughey,The Newton Boys ,8309,39,English,27000000.0,1998,6.0,315
Christian Alvart,167,13248477,Horror|Mystery|Thriller,Bradley Cooper,Case 39 ,60555,174,English,27000000.0,2009,6.2,0
E. Elias Merhige,101,8712564,Crime|Drama|Mystery|Thriller,Harry Lennix,Suspect Zero ,16555,139,English,27000000.0,2004,5.9,817
Menno Meyjes,118,7486906,Comedy|Drama|Family,Oliver Platt,Martian Child ,17436,71,English,27000000.0,2007,6.8,0
Robert Rodriguez,76,38536376,Action|Adventure|Comedy|Family|Sci-Fi,Alexa PenaVega,Spy Kids: All the Time in the World in 4D ,15866,83,English,27000000.0,2011,3.6,0
Jodie Foster,268,41008532,Crime|Drama|Thriller,Julia Roberts,Money Monster ,19611,103,English,27000000.0,2016,6.7,0
Ronny Yu,95,5204007,Action|Comedy|Crime|Thriller,Meat Loaf,Formula 51 ,42876,167,English,28000000.0,2001,6.3,0
Joel Schumacher,78,4485485,Comedy|Crime|Drama,Robert De Niro,Flawless ,14612,105,English,15000000.0,1999,6.4,0
Renny Harlin,127,4476235,Crime|Horror|Mystery|Thriller,LL Cool J,Mindhunters ,49405,226,English,27000000.0,2004,6.4,2000
Barry Levinson,137,1089365,Comedy|Drama,Robert De Niro,What Just Happened ,23767,111,English,25000000.0,2008,5.7,845
Norman Jewison,54,763044,Drama|Thriller,Charlotte Rampling,The Statement ,4257,52,English,23000000.0,2003,6.2,188
Kenneth Branagh,38,25517500,Drama|Musical|Romance,Kim-Marie Woodhouse,The Magic Flute ,926,19,English,27000000.0,2006,6.6,359
Steve Carr,167,20819129,Action|Comedy|Crime,Erick Avari,Paul Blart: Mall Cop ,84209,201,English,26000000.0,2009,5.2,0
Mark Waters,129,110222438,Comedy|Family|Fantasy|Music|Romance,Jamie Lee Curtis,Freaky Friday ,96693,271,English,26000000.0,2003,6.1,0
Judd Apatow,217,109243478,Comedy|Romance,Steve Carell,The 40-Year-Old Virgin ,313797,546,English,26000000.0,2005,7.1,0
John Madden,134,100241322,Comedy|Drama|Romance,Tom Wilkinson,Shakespeare in Love ,175524,752,English,25000000.0,1998,7.2,0
Scott Frank,253,25977365,Crime|Drama|Mystery|Thriller,Liam Neeson,A Walk Among the Tombstones ,87950,207,English,28000000.0,2014,6.5,15000
Ivan Reitman,46,91457688,Action|Comedy|Crime,Richard Tyson,Kindergarten Cop ,107801,109,English,26000000.0,1990,6.0,0
David Gordon Green,232,87341380,Action|Comedy|Crime,James Franco,Pineapple Express ,255257,374,English,27000000.0,2008,7.0,0
Andy Tennant,92,65703412,Comedy|Drama|Romance,Anjelica Huston,Ever After: A Cinderella Story ,57958,345,English,26000000.0,1998,7.0,0
Kevin Costner,153,58328680,Drama|Romance|Western,Robert Duvall,Open Range ,54096,494,English,22000000.0,2003,7.5,0
Joel Schumacher,49,61490000,Drama|Horror|Sci-Fi|Thriller,Julia Roberts,Flatliners ,62037,148,English,26000000.0,1990,6.6,0
