,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
3146,2012.0,Shooter,Capcom,0.31,0.17,0.07,0.09,0.64
3147,2016.0,Strategy,Take-Two Interactive,0.36,0.23,0.0,0.05,0.64
3148,2015.0,Platform,Ubisoft,0.23,0.35,0.0,0.06,0.64
3149,2020.0,Action,Warner Bros. Interactive Entertainment,0.25,0.29,0.0,0.1,0.64
3150,2008.0,Shooter,Electronic Arts,0.43,0.19,0.0,0.02,0.64
3151,2007.0,Platform,Activision,0.31,0.24,0.0,0.08,0.64
3152,2011.0,Racing,THQ,0.25,0.32,0.0,0.07,0.64
3153,2009.0,Sports,Electronic Arts,0.57,0.04,0.0,0.03,0.64
3154,2015.0,Action,Electronic Arts,0.23,0.33,0.0,0.09,0.64
3155,2010.0,Action,LucasArts,0.55,0.04,0.0,0.05,0.64
3156,2003.0,Shooter,Red Storm Entertainment,0.48,0.15,0.0,0.01,0.64
3157,2003.0,Platform,Konami Digital Entertainment,0.44,0.1,0.04,0.05,0.64
3158,2003.0,Platform,Ubisoft,0.4,0.22,0.0,0.02,0.64
3159,2008.0,Misc,,0.46,0.17,0.0,0.01,0.64
3160,2013.0,Action,Electronic Arts,0.37,0.21,0.0,0.06,0.64
3161,2006.0,Shooter,Eidos Interactive,0.29,0.33,0.0,0.01,0.64
3162,2010.0,Action,Capcom,0.15,0.12,0.34,0.04,0.64
3163,2014.0,Role-Playing,Square Enix,0.17,0.2,0.2,0.07,0.64
3164,2013.0,Platform,Disney Interactive Studios,0.41,0.17,0.0,0.06,0.64
3165,2011.0,Racing,Sega,0.07,0.43,0.0,0.14,0.64
3166,2008.0,Misc,,0.46,0.17,0.0,0.01,0.64
3167,2016.0,Action,Sony Computer Entertainment,0.26,0.2,0.09,0.1,0.64
3168,2006.0,Misc,Konami Digital Entertainment,0.46,0.17,0.0,0.01,0.64
3169,2014.0,Role-Playing,Sony Computer Entertainment,0.23,0.09,0.27,0.05,0.64
3170,2013.0,Shooter,Activision,0.25,0.28,0.0,0.11,0.64
3171,2009.0,Misc,Sony Computer Entertainment,0.31,0.24,0.0,0.08,0.64
3172,2019.0,Action,Warner Bros. Interactive Entertainment,0.22,0.32,0.0,0.1,0.64
3173,2014.0,Misc,Sony Computer Entertainment,0.07,0.42,0.0,0.14,0.64
3174,2002.0,Racing,Nintendo,0.59,0.04,0.0,0.01,0.64
3175,2004.0,Sports,Electronic Arts,0.6,0.03,0.0,0.01,0.64
3176,2011.0,Sports,Electronic Arts,0.56,0.02,0.01,0.05,0.64
3177,2017.0,Shooter,Activision,0.46,0.12,0.0,0.05,0.64
3178,2011.0,Racing,Nintendo,0.2,0.26,0.11,0.06,0.64
3179,2012.0,Action,Capcom,0.45,0.1,0.04,0.05,0.64
3180,2008.0,Platform,Activision,0.31,0.24,0.0,0.08,0.64
3181,2018.0,Action,Warner Bros. Interactive Entertainment,0.2,0.33,0.01,0.1,0.64
3182,2013.0,Misc,Ubisoft,0.59,0.0,0.0,0.04,0.64
3183,2014.0,Shooter,Ubisoft,0.36,0.21,0.01,0.06,0.63
3184,2009.0,Role-Playing,Activision,0.53,0.02,0.0,0.09,0.63
3185,2001.0,Action,Sony Computer Entertainment,0.35,0.24,0.0,0.04,0.63
3186,2013.0,Misc,Sony Computer Entertainment,0.08,0.12,0.0,0.44,0.63
3187,2018.0,Misc,Ubisoft,0.41,0.16,0.0,0.06,0.63
3188,2017.0,Racing,Codemasters,0.01,0.45,0.03,0.15,0.63
3189,2011.0,Racing,THQ,0.22,0.34,0.0,0.07,0.63
3190,2005.0,Sports,Activision,0.41,0.19,0.0,0.03,0.63
3191,2003.0,Strategy,Electronic Arts,0.35,0.24,0.0,0.04,0.63
3192,2006.0,Sports,Electronic Arts,0.2,0.4,0.0,0.04,0.63
3193,2013.0,Action,Atari,0.43,0.14,0.0,0.06,0.63
3194,,Role-Playing,Capcom,0.0,0.0,0.63,0.0,0.63
3195,2009.0,Racing,Electronic Arts,0.53,0.02,0.0,0.09,0.63
3196,2010.0,Sports,Activision,0.3,0.23,0.01,0.1,0.63
3197,2008.0,Simulation,Ubisoft,0.45,0.17,0.0,0.01,0.63
3198,2015.0,Action,Disney Interactive Studios,0.3,0.23,0.0,0.09,0.63
3199,2013.0,Misc,Activision,0.28,0.24,0.0,0.1,0.63
3200,2012.0,Action,Sega,0.46,0.09,0.0,0.09,0.63
3201,2016.0,Misc,Namco Bandai Games,0.0,0.0,0.63,0.0,0.63
3202,2013.0,Action,Electronic Arts,0.21,0.35,0.0,0.07,0.63
3203,2002.0,Platform,Activision,0.49,0.13,0.0,0.01,0.63
3204,1995.0,Platform,Konami Digital Entertainment,0.32,0.05,0.25,0.01,0.63
3205,2014.0,Misc,Activision,0.49,0.09,0.0,0.04,0.63
3206,2016.0,Action,Activision,0.38,0.2,0.0,0.05,0.63
3207,2012.0,Action,Sega,0.38,0.19,0.0,0.06,0.63
3208,2011.0,Sports,Activision,0.58,0.0,0.0,0.05,0.63
3209,2007.0,Fighting,Namco Bandai Games,0.0,0.0,0.63,0.0,0.63
3210,2015.0,Misc,Ubisoft,0.33,0.21,0.0,0.09,0.63
3211,2014.0,Shooter,Activision,0.54,0.05,0.0,0.04,0.63
3212,2019.0,Action,Sony Computer Entertainment,0.23,0.29,0.01,0.1,0.63
3213,2006.0,Platform,Sony Computer Entertainment,0.12,0.09,0.38,0.03,0.63
3214,2013.0,Shooter,Nintendo,0.43,0.05,0.0,0.14,0.63
3215,1986.0,Action,Universal Gamex,0.58,0.04,0.0,0.01,0.63
3216,2013.0,Shooter,Activision,0.34,0.23,0.0,0.06,0.63
3217,,Strategy,Nintendo,0.44,0.13,0.0,0.06,0.63
3218,2015.0,Simulation,Electronic Arts,0.4,0.23,0.0,0.0,0.63
3219,2018.0,Racing,Ubisoft,0.24,0.34,0.0,0.05,0.63
3220,2013.0,Strategy,Ubisoft,0.31,0.25,0.0,0.06,0.63
3221,2020.0,Role-Playing,Square Enix,0.0,0.0,0.63,0.0,0.63
3222,2016.0,Racing,Sega,0.2,0.37,0.0,0.06,0.63
3223,2011.0,Role-Playing,Tecmo Koei,0.22,0.2,0.16,0.05,0.63
3224,2005.0,Sports,Electronic Arts,0.31,0.24,0.0,0.08,0.63
3225,2013.0,Role-Playing,Ghostlight,0.18,0.06,0.34,0.04,0.63
3226,2001.0,Role-Playing,Square,0.0,0.0,0.59,0.04,0.63
3227,2015.0,Sports,Electronic Arts,0.4,0.17,0.0,0.05,0.63
3228,2010.0,Action,Capcom,0.11,0.03,0.15,0.34,0.63
3229,2004.0,Sports,Electronic Arts,0.35,0.24,0.0,0.04,0.63
3230,2013.0,Simulation,THQ,0.41,0.16,0.0,0.05,0.63
3231,2019.0,Action,Warner Bros. Interactive Entertainment,0.35,0.22,0.0,0.06,0.63
3232,2013.0,Shooter,Bethesda Softworks,0.22,0.27,0.01,0.11,0.63
3233,2013.0,Racing,Electronic Arts,0.26,0.29,0.0,0.07,0.63
3234,2004.0,Platform,Activision,0.35,0.24,0.0,0.04,0.63
3235,2006.0,Misc,Namco Bandai Games,0.48,0.13,0.0,0.02,0.63
3236,1997.0,Strategy,Tecmo Koei,0.3,0.0,0.32,0.0,0.62
3237,1999.0,Shooter,Sega,0.0,0.0,0.62,0.0,0.62
3238,,Action,Konami Digital Entertainment,0.38,0.22,0.0,0.03,0.62
3239,2009.0,Sports,Activision,0.4,0.2,0.0,0.03,0.62
3240,2000.0,Fighting,Acclaim Entertainment,0.35,0.24,0.0,0.04,0.62
3241,2014.0,Action,Ubisoft,0.3,0.26,0.0,0.06,0.62
3242,2014.0,Shooter,Sega,0.21,0.22,0.11,0.09,0.62
3243,2006.0,Role-Playing,Ubisoft,0.16,0.13,0.29,0.04,0.62
3244,2001.0,Sports,Sony Computer Entertainment,0.35,0.24,0.0,0.04,0.62
3245,2013.0,Role-Playing,Deep Silver,0.22,0.23,0.08,0.09,0.62
3246,2010.0,Sports,Electronic Arts,0.48,0.13,0.0,0.02,0.62
3247,2018.0,Shooter,Ubisoft,0.15,0.42,0.0,0.05,0.62
3248,1986.0,Shooter,Atari,0.58,0.03,0.0,0.01,0.62
3249,2007.0,Sports,Electronic Arts,0.47,0.13,0.0,0.02,0.62
3250,2015.0,Action,Disney Interactive Studios,0.29,0.28,0.0,0.06,0.62
3251,2018.0,Sports,Konami Digital Entertainment,0.1,0.23,0.22,0.08,0.62
3252,2019.0,Shooter,Take-Two Interactive,0.36,0.2,0.0,0.06,0.62
3253,2008.0,Platform,THQ,0.3,0.24,0.0,0.08,0.62
3254,2017.0,Action,Deep Silver,0.26,0.2,0.07,0.09,0.62
3255,2015.0,Action,Ubisoft Annecy,0.0,0.04,0.57,0.01,0.62
3256,2012.0,Adventure,Disney Interactive Studios,0.35,0.21,0.0,0.06,0.62
3257,2007.0,Action,Capcom,0.38,0.1,0.12,0.02,0.62
3258,2008.0,Simulation,Electronic Arts,0.37,0.22,0.0,0.03,0.62
3259,2003.0,Racing,Electronic Arts,0.4,0.2,0.0,0.02,0.62
3260,2016.0,Sports,Electronic Arts,0.17,0.34,0.02,0.09,0.62
3261,2004.0,Platform,Eidos Interactive,0.34,0.23,0.0,0.04,0.62
3262,2014.0,Misc,Activision,0.58,0.0,0.0,0.04,0.62
3263,2008.0,Sports,Play It,0.3,0.24,0.0,0.08,0.62
3264,2011.0,Action,THQ,0.57,0.01,0.0,0.04,0.62
3265,2018.0,Action,Konami Digital Entertainment,0.14,0.14,0.27,0.06,0.62
3266,1986.0,Action,Wizard Video Games,0.58,0.03,0.0,0.01,0.62
3267,2015.0,Fighting,Namco Bandai Games,0.27,0.18,0.09,0.08,0.62
3268,2013.0,Fighting,THQ,0.25,0.23,0.0,0.14,0.62
3269,2003.0,Sports,ASCII Entertainment,0.21,0.14,0.23,0.04,0.62
3270,2008.0,Racing,Eidos Interactive,0.3,0.24,0.0,0.08,0.62
3271,1999.0,Puzzle,Nintendo,0.0,0.0,0.62,0.0,0.62
3272,2007.0,Misc,Namco Bandai Games,0.48,0.12,0.0,0.02,0.62
3273,2018.0,Misc,Ubisoft,0.34,0.17,0.0,0.11,0.62
3274,2000.0,Fighting,Sega,0.0,0.0,0.62,0.0,0.62
3275,2000.0,Role-Playing,SquareSoft,0.0,0.0,0.62,0.0,0.62
3276,2012.0,Platform,THQ,0.29,0.26,0.0,0.07,0.62
3277,2002.0,Action,Eidos Interactive,0.59,0.03,0.0,0.0,0.62
3278,2016.0,Adventure,Namco Bandai Games,0.0,0.0,0.62,0.0,0.62
3279,2015.0,Role-Playing,Square Enix,0.0,0.0,0.62,0.0,0.62
3280,2002.0,Sports,Acclaim Entertainment,0.59,0.02,0.0,0.0,0.62
3281,2005.0,Strategy,Banpresto,0.0,0.0,0.58,0.04,0.62
3282,2010.0,Racing,Sony Computer Entertainment,0.0,0.57,0.04,0.0,0.61
3283,2013.0,Role-Playing,Rising Star Games,0.33,0.13,0.11,0.04,0.61
3284,2012.0,Sports,Take-Two Interactive,0.56,0.0,0.0,0.05,0.61
3285,2012.0,Misc,Sony Computer Entertainment,0.0,0.04,0.0,0.57,0.61
3286,2019.0,Sports,Electronic Arts,0.35,0.15,0.0,0.11,0.61
3287,2018.0,Shooter,Electronic Arts,0.21,0.29,0.01,0.11,0.61
3288,2006.0,Sports,Microsoft Game Studios,0.46,0.13,0.0,0.02,0.61
3289,2010.0,Action,Tecmo Koei,0.02,0.02,0.57,0.01,0.61
3290,2017.0,Action,Tecmo Koei,0.12,0.11,0.34,0.05,0.61
3291,2014.0,Misc,Disney Interactive Studios,0.39,0.18,0.0,0.05,0.61
3292,2009.0,Misc,THQ,0.44,0.16,0.0,0.01,0.61
3293,2006.0,Shooter,TDK Mediactive,0.3,0.23,0.0,0.08,0.61
3294,2008.0,Platform,Gotham Games,0.44,0.16,0.0,0.01,0.61
3295,2014.0,Misc,Take-Two Interactive,0.35,0.21,0.0,0.05,0.61
3296,2013.0,Sports,Activision,0.46,0.1,0.0,0.05,0.61
3297,2017.0,Misc,Ubisoft,0.33,0.23,0.0,0.05,0.61
3298,2015.0,Simulation,505 Games,0.5,0.07,0.0,0.04,0.61
3299,2008.0,Misc,Majesco Entertainment,0.44,0.16,0.0,0.01,0.61
3300,2007.0,Shooter,Namco Bandai Games,0.3,0.23,0.0,0.08,0.61
3301,2014.0,Sports,Activision,0.58,0.0,0.0,0.03,0.61
3302,2011.0,Misc,Nintendo,0.0,0.0,0.61,0.0,0.61
3303,2014.0,Sports,Konami Digital Entertainment,0.09,0.44,0.0,0.07,0.61
3304,2012.0,Platform,Nintendo,0.24,0.17,0.14,0.05,0.61
3305,2002.0,Platform,Electronic Arts,0.34,0.23,0.0,0.04,0.61
3306,2015.0,Shooter,Sega,0.09,0.07,0.42,0.03,0.61
3307,2012.0,Simulation,Electronic Arts,0.31,0.24,0.0,0.06,0.61
3308,2009.0,Shooter,Electronic Arts,0.37,0.21,0.0,0.03,0.61
3309,2001.0,Shooter,GT Interactive,0.34,0.23,0.0,0.04,0.61
3310,2014.0,Misc,Namco Bandai Games,0.47,0.09,0.01,0.04,0.61
3311,2013.0,Platform,Sony Computer Entertainment,0.18,0.27,0.0,0.15,0.61
3312,2012.0,Sports,Bethesda Softworks,0.56,0.0,0.0,0.05,0.61
3313,2011.0,Simulation,Electronic Arts,0.33,0.03,0.21,0.03,0.61
3314,2013.0,Sports,Spike,0.56,0.0,0.0,0.05,0.61
3315,2012.0,Simulation,Ubisoft,0.56,0.0,0.0,0.05,0.61
3316,2014.0,Racing,Disney Interactive Studios,0.32,0.23,0.0,0.06,0.61
3317,2009.0,Role-Playing,Nintendo,0.27,0.1,0.22,0.01,0.61
3318,2006.0,Sports,Electronic Arts,0.44,0.16,0.0,0.01,0.61
3319,2003.0,Action,Eidos Interactive,0.34,0.23,0.0,0.04,0.61
3320,2009.0,Action,Electronic Arts,0.44,0.16,0.0,0.01,0.61
3321,2008.0,Action,Atari,0.44,0.16,0.0,0.01,0.61
3322,2005.0,Sports,Electronic Arts,0.47,0.12,0.0,0.02,0.61
3323,2013.0,Misc,Activision,0.33,0.21,0.0,0.06,0.61
3324,2012.0,Misc,Disney Interactive Studios,0.37,0.16,0.01,0.06,0.61
3325,2005.0,Action,Activision,0.43,0.16,0.0,0.01,0.61
3326,2003.0,Sports,Electronic Arts,0.58,0.02,0.0,0.0,0.61
3327,2011.0,Action,Activision,0.51,0.05,0.0,0.05,0.61
3328,2006.0,Misc,Nintendo,0.43,0.16,0.0,0.01,0.61
3329,2012.0,Simulation,Electronic Arts,0.34,0.2,0.0,0.06,0.61
3330,2007.0,Fighting,Atari,0.5,0.02,0.0,0.08,0.61
3331,2014.0,Fighting,Ubisoft,0.31,0.24,0.0,0.06,0.61
3332,2013.0,Shooter,Ubisoft,0.3,0.24,0.0,0.06,0.61
3333,2013.0,Strategy,Nintendo,0.11,0.14,0.33,0.02,0.6
3334,2007.0,Sports,Activision,0.43,0.16,0.0,0.01,0.6
3335,2015.0,Sports,Sony Computer Entertainment,0.19,0.11,0.25,0.06,0.6
3336,2008.0,Racing,Majesco Entertainment,0.43,0.16,0.0,0.01,0.6
3337,2009.0,Platform,Sega,0.5,0.02,0.0,0.08,0.6
3338,2005.0,Racing,Nintendo,0.4,0.1,0.09,0.02,0.6
3339,2007.0,Fighting,Eidos Interactive,0.3,0.23,0.0,0.08,0.6
3340,2009.0,Fighting,Electronic Arts,0.42,0.16,0.0,0.02,0.6
3341,2014.0,Role-Playing,Capcom,0.0,0.0,0.6,0.0,0.6
3342,2011.0,Action,Sega,0.28,0.25,0.0,0.06,0.6
3343,2011.0,Sports,Take-Two Interactive,0.5,0.02,0.0,0.08,0.6
3344,2015.0,Action,Disney Interactive Studios,0.36,0.19,0.0,0.05,0.6
3345,2017.0,Action,Disney Interactive Studios,0.33,0.22,0.0,0.05,0.6
3346,,Action,Sega,0.26,0.28,0.0,0.07,0.6
3347,2013.0,Misc,Nintendo,0.18,0.19,0.2,0.04,0.6
3348,2013.0,Sports,Activision,0.38,0.15,0.0,0.08,0.6
3349,2019.0,Action,Warner Bros. Interactive Entertainment,0.31,0.22,0.03,0.05,0.6
3350,2015.0,Adventure,Electronic Arts,0.22,0.25,0.04,0.09,0.6
3351,2018.0,Action,Warner Bros. Interactive Entertainment,0.12,0.37,0.0,0.1,0.6
3352,1999.0,Role-Playing,Konami Digital Entertainment,0.21,0.14,0.21,0.04,0.6
3353,2013.0,Platform,Sony Computer Entertainment,0.13,0.18,0.0,0.29,0.6
3354,2005.0,Racing,Ubisoft,0.29,0.23,0.0,0.08,0.6
3355,2013.0,Action,Ubisoft,0.22,0.24,0.0,0.14,0.6
3356,2010.0,Action,THQ,0.5,0.02,0.0,0.08,0.6
3357,2001.0,Puzzle,Compile,0.0,0.0,0.6,0.0,0.6
3358,2005.0,Shooter,Vivendi Games,0.29,0.23,0.0,0.08,0.6
3359,2018.0,Action,Square Enix,0.34,0.21,0.0,0.05,0.6
3360,2004.0,Racing,Nintendo,0.37,0.08,0.14,0.01,0.6
3361,2001.0,Sports,Konami Digital Entertainment,0.09,0.26,0.23,0.02,0.6
3362,2017.0,Platform,Activision,0.4,0.15,0.0,0.06,0.6
3363,2005.0,Racing,Infogrames,0.29,0.23,0.0,0.08,0.6
3364,2012.0,Misc,Disney Interactive Studios,0.32,0.23,0.0,0.04,0.6
3365,2006.0,Fighting,Namco Bandai Games,0.0,0.0,0.56,0.04,0.6
3366,2002.0,Simulation,Konami Digital Entertainment,0.0,0.0,0.56,0.04,0.6
3367,2009.0,Racing,Microsoft Game Studios,0.49,0.03,0.03,0.05,0.6
3368,2016.0,Strategy,Take-Two Interactive,0.24,0.25,0.0,0.11,0.6
3369,2014.0,Racing,Activision,0.25,0.28,0.0,0.06,0.6
3370,2002.0,Adventure,Electronic Arts,0.33,0.23,0.0,0.04,0.6
3371,2016.0,Action,Warner Bros. Interactive Entertainment,0.55,0.01,0.0,0.04,0.6
3372,1999.0,Strategy,SquareSoft,0.0,0.0,0.6,0.0,0.6
3373,2014.0,Sports,Electronic Arts,0.4,0.13,0.0,0.07,0.6
3374,2016.0,Adventure,Microsoft Game Studios,0.38,0.16,0.0,0.05,0.6
3375,2012.0,Misc,Electronic Arts,0.34,0.2,0.0,0.06,0.6
3376,2018.0,Action,Disney Interactive Studios,0.26,0.24,0.0,0.1,0.6
3377,2011.0,Sports,Spike,0.29,0.23,0.0,0.08,0.6
3378,2008.0,Racing,Ubisoft,0.31,0.22,0.0,0.06,0.6
3379,2014.0,Fighting,Sony Computer Entertainment,0.29,0.22,0.0,0.09,0.6
3380,2007.0,Strategy,Banpresto,0.0,0.0,0.6,0.0,0.6
3381,2009.0,Puzzle,Nintendo,0.26,0.0,0.31,0.02,0.6
3382,2012.0,Action,Electronic Arts,0.0,0.53,0.0,0.06,0.59
3383,2008.0,Racing,THQ,0.29,0.23,0.0,0.08,0.59
3384,2016.0,Platform,Ubisoft,0.13,0.35,0.0,0.11,0.59
3385,2016.0,Sports,Sega,0.07,0.46,0.0,0.07,0.59
3386,2012.0,Sports,Sega,0.15,0.38,0.0,0.07,0.59
3387,2009.0,Strategy,Banpresto,0.0,0.0,0.59,0.0,0.59
3388,2014.0,Misc,THQ,0.56,0.0,0.0,0.03,0.59
3389,2001.0,Sports,Konami Digital Entertainment,0.0,0.0,0.56,0.04,0.59
3390,2015.0,Action,Ubisoft,0.15,0.34,0.0,0.1,0.59
3391,2002.0,Sports,Electronic Arts,0.33,0.22,0.0,0.04,0.59
3392,2005.0,Misc,Sony Computer Entertainment,0.33,0.22,0.0,0.04,0.59
3393,2006.0,Shooter,Electronic Arts,0.46,0.12,0.0,0.02,0.59
3394,2013.0,Role-Playing,Square Enix,0.23,0.11,0.23,0.03,0.59
3395,2012.0,Action,Sega,0.31,0.22,0.0,0.06,0.59
3396,2014.0,Shooter,Square Enix,0.17,0.28,0.05,0.1,0.59
3397,2004.0,Sports,Midway Games,0.33,0.22,0.0,0.04,0.59
3398,2015.0,Strategy,Sega,0.19,0.31,0.0,0.09,0.59
3399,2002.0,Sports,Konami Digital Entertainment,0.0,0.0,0.55,0.04,0.59
3400,2012.0,Misc,MTV Games,0.29,0.23,0.0,0.08,0.59
3401,2016.0,Action,Sega,0.0,0.0,0.59,0.0,0.59
3402,2013.0,Action,Activision,0.21,0.24,0.0,0.14,0.59
3403,1985.0,Puzzle,Mattel Interactive,0.55,0.03,0.0,0.01,0.59
3404,2012.0,Action,Ubisoft,0.24,0.28,0.0,0.07,0.59
3405,2006.0,Sports,Electronic Arts,0.21,0.17,0.16,0.06,0.59
3406,2008.0,Sports,Electronic Arts,0.44,0.13,0.0,0.02,0.59
3407,2006.0,Platform,Universal Interactive,0.46,0.12,0.0,0.02,0.59
3408,1985.0,Action,Coleco,0.55,0.03,0.0,0.01,0.59
3409,2011.0,Misc,505 Games,0.54,0.0,0.0,0.04,0.59
3410,2012.0,Action,Take-Two Interactive,0.53,0.02,0.0,0.04,0.59
3411,2011.0,Action,Activision,0.52,0.03,0.0,0.04,0.59
3412,2001.0,Racing,Acclaim Entertainment,0.47,0.11,0.0,0.01,0.59
3413,2003.0,Sports,Midway Games,0.47,0.11,0.0,0.01,0.59
3414,2017.0,Shooter,505 Games,0.33,0.21,0.0,0.05,0.59
3415,2007.0,Sports,Microsoft Game Studios,0.36,0.08,0.14,0.02,0.59
3416,2008.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.59,0.0,0.59
3417,2016.0,Fighting,Namco Bandai Games,0.39,0.14,0.02,0.04,0.59
3418,2015.0,Sports,Electronic Arts,0.36,0.16,0.0,0.07,0.59
3419,2019.0,Role-Playing,Namco Bandai Games,0.05,0.09,0.42,0.03,0.59
3420,2014.0,Action,Konami Digital Entertainment,0.13,0.22,0.01,0.23,0.59
3421,,Sports,Electronic Arts,0.54,0.0,0.01,0.03,0.59
3422,2012.0,Sports,Electronic Arts,0.51,0.04,0.0,0.05,0.59
3423,2014.0,Misc,Warner Bros. Interactive Entertainment,0.36,0.18,0.0,0.05,0.59
3424,2003.0,Action,Sony Computer Entertainment,0.33,0.22,0.0,0.04,0.59
3425,2012.0,Action,Ubisoft,0.18,0.34,0.0,0.07,0.59
3426,2008.0,Platform,Capcom,0.29,0.22,0.0,0.08,0.59
3427,2011.0,Role-Playing,Square Enix,0.39,0.02,0.13,0.04,0.59
3428,2019.0,Role-Playing,Namco Bandai Games,0.2,0.22,0.08,0.08,0.59
3429,2012.0,Action,Koch Media,0.35,0.14,0.0,0.1,0.59
3430,2015.0,Shooter,Square Enix,0.25,0.25,0.0,0.09,0.59
3431,2014.0,Sports,505 Games,0.28,0.21,0.0,0.09,0.59
3432,2007.0,Simulation,Ubisoft,0.34,0.13,0.11,0.01,0.59
3433,2007.0,Sports,Atari,0.29,0.22,0.0,0.07,0.59
3434,2013.0,Sports,Electronic Arts,0.14,0.37,0.0,0.07,0.59
3435,1998.0,Sports,Nintendo,0.0,0.0,0.59,0.0,0.59
3436,2016.0,Shooter,Bethesda Softworks,0.26,0.22,0.0,0.1,0.59
3437,2007.0,Action,Capcom,0.22,0.17,0.14,0.06,0.58
3438,2012.0,Action,Take-Two Interactive,0.15,0.37,0.0,0.07,0.58
3439,2011.0,Simulation,Ubisoft,0.53,0.01,0.0,0.04,0.58
3440,2012.0,Action,THQ,0.29,0.22,0.0,0.07,0.58
3441,2013.0,Shooter,Sega,0.29,0.23,0.0,0.06,0.58
3442,2019.0,Misc,Ubisoft,0.28,0.25,0.0,0.05,0.58
3443,1999.0,Simulation,Konami Digital Entertainment,0.0,0.0,0.55,0.04,0.58
3444,2001.0,Role-Playing,Electronic Arts,0.29,0.19,0.07,0.04,0.58
3445,2014.0,Sports,Activision,0.53,0.02,0.0,0.04,0.58
3446,2018.0,Sports,Electronic Arts,0.3,0.18,0.0,0.1,0.58
3447,1986.0,Puzzle,Parker Bros.,0.55,0.03,0.0,0.01,0.58
3448,2009.0,Role-Playing,Square Enix,0.06,0.04,0.47,0.01,0.58
3449,2008.0,Role-Playing,Electronic Arts,0.49,0.02,0.0,0.08,0.58
3450,2012.0,Simulation,Rising Star Games,0.35,0.03,0.17,0.03,0.58
3451,2013.0,Misc,Electronic Arts,0.21,0.31,0.0,0.07,0.58
3452,2012.0,Platform,Vivendi Games,0.35,0.18,0.0,0.05,0.58
3453,2013.0,Simulation,Electronic Arts,0.02,0.18,0.0,0.39,0.58
3454,2018.0,Sports,Microsoft Game Studios,0.3,0.22,0.02,0.04,0.58
3455,2015.0,Platform,Ubisoft,0.23,0.29,0.0,0.07,0.58
3456,2019.0,Sports,Take-Two Interactive,0.31,0.22,0.0,0.05,0.58
3457,2018.0,Shooter,Electronic Arts,0.21,0.3,0.0,0.07,0.58
3458,2012.0,Sports,Electronic Arts,0.54,0.0,0.0,0.04,0.58
3459,2013.0,Action,Ubisoft,0.31,0.19,0.02,0.06,0.58
3460,2004.0,Sports,3DO,0.32,0.22,0.0,0.04,0.58
3461,2017.0,Platform,Disney Interactive Studios,0.27,0.26,0.0,0.05,0.58
3462,2007.0,Action,Atari,0.28,0.22,0.0,0.07,0.58
3463,2014.0,Shooter,Activision,0.37,0.15,0.0,0.05,0.58
3464,2014.0,Simulation,Natsume,0.27,0.06,0.22,0.03,0.58
3465,2001.0,Sports,Electronic Arts,0.15,0.39,0.0,0.03,0.58
3466,2002.0,Sports,Electronic Arts,0.14,0.4,0.0,0.04,0.58
3467,2002.0,Sports,Konami Digital Entertainment,0.06,0.3,0.19,0.03,0.58
3468,,Racing,Unknown,0.28,0.22,0.0,0.07,0.58
3469,2004.0,Shooter,Infogrames,0.28,0.22,0.0,0.07,0.58
3470,2004.0,Role-Playing,Namco Bandai Games,0.23,0.16,0.16,0.04,0.58
3471,2002.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.54,0.04,0.58
3472,2009.0,Action,Ubisoft,0.33,0.22,0.0,0.03,0.58
3473,2008.0,Role-Playing,Sony Computer Entertainment,0.28,0.22,0.0,0.07,0.58
3474,2002.0,Platform,BMG Interactive Entertainment,0.32,0.22,0.0,0.04,0.58
3475,2008.0,Adventure,Activision,0.42,0.15,0.0,0.01,0.58
3476,2011.0,Action,Capcom,0.25,0.0,0.31,0.02,0.58
3477,2017.0,Fighting,Namco Bandai Games,0.05,0.02,0.5,0.01,0.58
3478,2013.0,Simulation,Ubisoft,0.53,0.0,0.0,0.04,0.58
3479,2006.0,Shooter,Konami Digital Entertainment,0.28,0.22,0.0,0.07,0.58
3480,2002.0,Racing,THQ,0.32,0.22,0.0,0.04,0.58
3481,1996.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.58,0.0,0.58
3482,2010.0,Sports,Take-Two Interactive,0.53,0.0,0.0,0.04,0.58
3483,2019.0,Sports,Take-Two Interactive,0.21,0.27,0.0,0.09,0.58
3484,2010.0,Adventure,Capcom,0.24,0.05,0.26,0.03,0.58
3485,2000.0,Strategy,Nintendo,0.0,0.0,0.58,0.0,0.58
3486,2014.0,Misc,MTV Games,0.43,0.09,0.0,0.06,0.58
3487,2015.0,Role-Playing,Nippon Ichi Software,0.27,0.11,0.14,0.06,0.58
3488,2013.0,Fighting,PQube,0.36,0.1,0.06,0.06,0.58
3489,2004.0,Action,Activision,0.32,0.22,0.0,0.04,0.58
3490,2006.0,Sports,Activision,0.45,0.12,0.0,0.02,0.58
3491,2015.0,Sports,Sony Computer Entertainment,0.54,0.0,0.0,0.04,0.58
3492,2010.0,Action,Namco Bandai Games,0.28,0.22,0.0,0.07,0.58
3493,2009.0,Sports,Electronic Arts,0.48,0.02,0.0,0.08,0.58
3494,2013.0,Sports,Electronic Arts,0.38,0.12,0.0,0.07,0.58
